Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
SSP00330,22 - Technische Natuurkunde,22.00.02.250,F 225,Hallway,Hallway,2e verdieping,52.001226,4.373895,24,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00331,22 - Technische Natuurkunde,22.00.02.500,F 250,Hallway,Hallway,2e verdieping,52.000887,4.374163,8,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00332,22 - Technische Natuurkunde,22.00.02.750,F 275,Chillout Lounge,Chillout Lounge,2e verdieping,52.000576,4.37435,24,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00337,22 - Technische Natuurkunde,22.00.03.040,F 304,Silent Study Room,Silent Study Room,3e verdieping,52.001374,4.373798,48,0,stil,kunstmatig licht,ja (>/= 1 pp),ja,nee,>25m,0-50m,0-25m
SSP00339,22 - Technische Natuurkunde,22.00.03.050,F 305,Study Room,Study Room,3e verdieping,52.001374,4.373798,32,0,rustig,daglicht,ja (>/= 1 pp),ja,nee,>25m,0-50m,0-25m
SSP00333,22 - Technische Natuurkunde,22.00.03.250,F 325,Hallway,Hallway,3e verdieping,52.001226,4.373895,9,0,rumoerig,daglicht,nee,nee,nee,>25m,0-50m,0-25m
23SSP007,22 - Technische Natuurkunde,22.00.03.350,F 350,Hallway,Hallway,3e verdieping,52.000881,4.374046,8,0,rumoerig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
SSP00334,22 - Technische Natuurkunde,22.00.03.750,F 375,Hallway,Hallway,3e verdieping,52.000576,4.37435,18,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00094,23 - Civiele Techniek en Geowetenschappen,23.00.00.450,HG 00.450,Study Area,Study Area,begane grond,51.999208,4.375291,52,52,rustig,kunstmatig licht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00126,23 - Civiele Techniek en Geowetenschappen,23.00.00.720,HG 00.720,Silent Study Room,Silent Study Room,begane grond,51.998427,4.375832,10,10,stil,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,>50m,0-25m
SSP00128,23 - Civiele Techniek en Geowetenschappen,23.00.00.740,HG 00.740,Silent Study Room,Silent Study Room,begane grond,51.998427,4.375832,8,8,stil,kunstmatig licht,ja (>/= 1 pp),nee,nee,>25m,>50m,0-25m
SSP00095,23 - Civiele Techniek en Geowetenschappen,23.00.01.270,HG 01.270,Hallway,Hallway,1e verdieping,51.999208,4.375291,72,0,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP008,23 - Civiele Techniek en Geowetenschappen,23.00.01.510,HG 01.510,Coffee Bar Lemon & Beans,Coffee Bar Lemon & Beans,1e verdieping,51.998795,4.375579,27,0,rumoerig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
23SSP009,23 - Civiele Techniek en Geowetenschappen,23.00.01.722,HG 01.722,Study Area - with Computers,Study Area - with Computers,1e verdieping,51.998795,4.375579,10,0,rumoerig,daglicht,ja (>/= 1 pp),nee,nee,nvt,0-50m,0-25m
SSP00143,23 - Civiele Techniek en Geowetenschappen,23.00.01.722,HG 01.722,Study Area,Study Area,1e verdieping,51.998191,4.376007,20,20,rumoerig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00140,23 - Civiele Techniek en Geowetenschappen,23.00.01.770,HG 01.770,Studoc,Studoc,1e verdieping,51.998191,4.376007,38,38,stil,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
