Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam;Soort studieplek;Email adres;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00031;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;600;02.West.600;02.West.600;STUDIERUIMTE;onderwijsruimte;;;;B;40;4;10;40;1;5;32;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00032;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;700;02.West.700;02.West.700;STUDIERUIMTE;onderwijsruimte;;;;B;100;10;10;100;2;0;64;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00033;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;2e verdieping;800;02.West.800;02.West.800;STUDIERUIMTE;onderwijsruimte;;;;B;90;9;10;90;2;0;54;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00034;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;251;BG.Oost.251;BG.Oost.251;GANG;informeel zitje;;;;C;4;2;2;4;0;2;4;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00035;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;410;BG.Oost.410;BG.Oost.410;STUDIERUIMTE;onderwijsruimte;;;;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00036;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;430;BG.Oost.430;BG.Oost.430;STUDIERUIMTE;onderwijsruimte;;;;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00037;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;450;BG.Oost.450;BG.Oost.450;STUDIERUIMTE;onderwijsruimte;;;;B;30;3;10;30;0;0;24;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00038;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;560;BG.Oost.560;BG.Oost.560;STUDIERUIMTE;onderwijsruimte;;;;B;90;9;10;90;5;0;72;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00039;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;600;BG.Oost.600;BG.Oost.600;STUDIERUIMTE;onderwijsruimte;;;;B;40;4;10;40;0;0;32;2;rustig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00040;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;760;BG.Oost.760;BG.Oost.760;ESPRESSOBAR;horecaplek;;;;C;36;18;3;0;52;0;36;1;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00041;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;800;BG.Oost.800;BG.Oost.800;OOSTSERRE;onderwijsruimte;;;;B;88;11;8;88;0;16;88;2;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00042;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;830;BG.Oost.830;BG.Oost.830;STUDIERUIMTE;onderwijsruimte;;;;B;12;3;4;12;0;0;12;2;rumoerig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00043;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;200;BG.West.200;BG.West.200;PROTOSPACELAB;onderwijsruimte;;;;B;30;10;3;5;25;0;15;2;rustig;nee;nee;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00044;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;370;BG.West.370;BG.West.370;KOFFIEMACHINE/PRINTER;horecaplek;;;;C;6;3;4;0;12;2;6;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
